Epoch,200
Batch size,32
Optimisation,"sgd = SGD(lr=0.001, decay=1.e-6, momentum=0.9, nesterov=False)"
0	1478116437.464532	1478116583.6218157	146.15728378295898
5	1478117064.4230945	1478117184.3822463	119.95915174484253
10	1478117662.3067043	1478117807.8078854	145.50118112564087
15	1478118289.4577878	1478118411.9411385	122.48335075378418
20	1478118890.3573806	1478119033.2699287	142.91254806518555
25	1478119511.2166908	1478119636.6179612	125.40127038955688
30	1478120138.28846	1478120285.5490632	147.26060318946838
35	1478120769.9551392	1478120891.5582032	121.60306406021118
40	1478121376.0602617	1478121521.4239655	145.36370372772217
45	1478121998.9265647	1478122117.8672402	118.94067549705505
50	1478122601.4799385	1478122746.2154827	144.7355442047119
55	1478123225.7124474	1478123345.2871823	119.57473492622375
60	1478123824.6908157	1478123968.8820195	144.19120383262634
65	1478124449.030035	1478124570.2726245	121.24258947372437
70	1478125047.4213178	1478125191.2054305	143.78411269187927
75	1478125670.596123	1478125789.845546	119.24942302703857
80	1478126269.8806207	1478126413.2449377	143.36431694030762
85	1478126892.1820455	1478127014.1806502	121.9986047744751
90	1478127493.0979211	1478127637.3450277	144.24710655212402
95	1478128116.738061	1478128236.5758848	119.83782386779785
100	1478128716.4259348	1478128860.3256009	143.8996660709381
105	1478129342.8299034	1478129464.3510237	121.52112030982971
110	1478129945.2745957	1478130089.8928409	144.6182451248169
115	1478130574.1483746	1478130695.1289392	120.9805645942688
120	1478131175.8855798	1478131320.79935	144.91377019882202
125	1478131805.9193935	1478131923.3566556	117.43726205825806
130	1478132403.6953547	1478132549.9626248	146.2672700881958
135	1478133030.4116359	1478133151.3694613	120.95782542228699
140	1478133630.351509	1478133776.334254	145.98274493217468
145	1478134263.4637606	1478134383.4412608	119.9775002002716
150	1478134865.4359725	1478135010.9870207	145.5510482788086
155	1478135492.2356508	1478135612.1417863	119.90613555908203
160	1478136092.538385	1478136237.3414168	144.80303192138672
165	1478136718.3150227	1478136839.3925157	121.0774929523468
170	1478137324.5123808	1478137469.148644	144.63626313209534
