Epoch,100
Batch size,128
Optimisation,rms = RMSprop(lr=0.0001)
0,1477852889.6519113,1477853327.361575,437.70966362953186
5,1477854888.007852,1477855277.8175118,389.80965971946716
10,1477856836.4066591,1477857265.5274067,429.12074756622314
15,1477858824.6062481,1477859214.376803,389.7705547809601
20,1477860776.3209913,1477861205.5907507,429.2697594165802
25,1477862764.8624587,1477863154.9880269,390.125568151474
30,1477864714.5943904,1477865143.8638642,429.26947379112244
35,1477866702.6218216,1477867094.2800949,391.65827322006226
40,1477868653.4068754,1477869082.3699615,428.96308612823486
45,1477870640.6656294,1477871030.262501,389.5968716144562
50,1477872588.733124,1477873017.617836,428.8847119808197
